module,category,difficulty,question,expression,options,answer,explanation,hint,is_active
psychotechnique,calcul_mental,Facile,Combien font 64 - 19 ?,64 - 19,"{""45"",""46"",""47"",""48""}",45,"64 - 19 peut être calculé comme 64 - 20 + 1. D'abord, soustrais 20 de 64 pour obtenir 44, puis ajoute 1 pour 45. Ne néglige pas l'ajustement final.",Soustrais 20 et ajoute 1.,true
psychotechnique,calcul_mental,Facile,Calculer 9 × 7.,9 × 7,"{""56"",""63"",""64"",""66""}",63,9 × 7 se résout par 9 × (10 - 1) = 90 - 9 = 63. Multiplie d'abord par 10 puis soustrais le produit de ce qui a été ajouté. Beaucoup omettent cette soustraction finale.,Multiplie 10 puis enlève le surplus.,true
psychotechnique,calcul_mental,Facile,Combien font 56 / 8 ?,56 / 8,"{""6"",""7"",""8"",""9""}",7,"Le calcul se fait en comprenant 56 comme 8 × 7. En décomposant 56, tu constates qu'il est exactement divisible par 8. L'erreur typique est de confondre la division avec une multiplication proche.",Cherche combien de fois 8 entre dans 56.,true
psychotechnique,calcul_mental,Facile,Double 17.,17 × 2,"{""32"",""34"",""35"",""36""}",34,"Doubler 17 est simplement 17 × 2. Cela donne 34. Le calcul est direct, mais un piège commun est de se perdre dans les multiplications par 2.",Doubler signifie multiplier par 2.,true
psychotechnique,calcul_mental,Facile,Combien font 46 - 12 ?,46 - 12,"{""32"",""33"",""34"",""35""}",34,"Pour 46 - 12, soustrais d'abord 10 pour avoir 36, puis enlève encore 2 pour obtenir 34. Certains peuvent oublier de continuer après la première soustraction.","Soustrais 10, puis encore 2.",true
psychotechnique,calcul_mental,Facile,Que vaut 5 + 8 ?,5 + 8,"{""11"",""12"",""13"",""14""}",13,5 + 8 s'obtient directement à 13 en additionnant ligne à ligne. La confusion courante vient d'ajouter incorrectement sous pression.,Additionne simplement les chiffres.,true
psychotechnique,calcul_mental,Facile,Moitié de 32,32 / 2,"{""15"",""16"",""17"",""18""}",16,32 divisé par 2 donne 16 car 16 + 16 font 32. Le piège est de mélanger division par 2 et division par un autre chiffre proche.,Divise 32 par 2 pour moitié.,true
psychotechnique,calcul_mental,Facile,Combien font 7 × 4 ?,7 × 4,"{""28"",""30"",""32"",""36""}",28,"7 × 4 donne 28, car 7 fois 4 ajoute jusqu'à 28. Une erreur fréquente est de confondre avec des multiplications proches.","Multiplie directement, 7 par 4.",true
psychotechnique,calcul_mental,Facile,Combien valent 8 × 6 ?,8 × 6,"{""42"",""46"",""48"",""50""}",48,"8 × 6 équivaut à 48, déduit de 8 + 8 + 8 + 8 + 8 + 8. Une confusion est d'ajouter trop ou trop peu de 8.",Essaie d'ajouter multiple de 8.,true
psychotechnique,calcul_mental,Facile,Que vaut 24 divisé par 6 ?,24 / 6,"{""3"",""4"",""6"",""8""}",4,"24 / 6 égale 4, car 6 multiplié par 4 redonne 24. Le piège est souvent de confondre avec la division par des multiples proches.",Pense à un multiple de 6.,true
psychotechnique,calcul_mental,Facile,Combien valent 16 + 25 ?,16 + 25,"{""40"",""41"",""42"",""43""}",41,"Pour 16 + 25, fais d'abord 16 + 24 = 40, puis ajoute 1 pour 41. Une confusion pourrait survenir avec une estimation incorrecte au départ.",Arrondis d'abord 25 puis ajuste.,true
psychotechnique,calcul_mental,Facile,Combien représentent 75 % de 40 ?,0.75 × 40,"{""20"",""25"",""30"",""35""}",30,"75 % de 40 se calcule comme 3/4 de 40, donc 30. Un piège classique est d'oublier de convertir le pourcentage en fraction.","75% = 3/4, pense fraction.",true
psychotechnique,calcul_mental,Facile,Calculez 15 × 3.,15 × 3,"{""35"",""40"",""45"",""50""}",45,15 × 3 s'obtient par addition de 15 trois fois (15 + 15 + 15 = 45). Le piège typique est de multiplier par erreur un chiffre approximatif.,Multiplie 15 par 3 directement.,true
psychotechnique,calcul_mental,Moyenne,Calculez 347 + 236.,347 + 236,"{""573"",""583"",""593"",""603""}",583,"Additionne avec retenue: 347 + 236. (300 + 200 = 500), et (47 + 36 = 83), donc 500 + 83 = 583. Assurez-vous de gérer correctement les retenues.","Ajoutez d'abord les centaines, puis les unités.",true
psychotechnique,calcul_mental,Moyenne,Combien vaut 812 - 347 ?,812 - 347,"{""455"",""465"",""475"",""485""}",465,Soustrayez avec attention: 812 - 347. (812 - 300 = 512) et (512 - 47 = 465). Le piège est d'oublier ou mal gérer les retenues.,"Retirez d'abord les centaines, puis les dizaines.",true
psychotechnique,calcul_mental,Moyenne,Multiplication: 27 × 30.,27 × 30,"{""720"",""810"",""890"",""900""}",810,Décompose 27 × 30 en (27 × 3) × 10 = 81 × 10 = 810. Une erreur commune est de mal positionner le zéro lors de la multiplication par 10.,Multiplie par 3 puis par 10.,true
psychotechnique,calcul_mental,Moyenne,Combien vaut 145 divisé par 5 ?,145 / 5,"{""29"",""30"",""31"",""32""}",29,145 / 5 = 29 car 5 s'inscrit exactement 29 fois dans 145. Un piège est de confondre avec une approximation trop proche de 150.,Pense à combien de fois 5 entre dans 145.,true
psychotechnique,calcul_mental,Moyenne,Évaluez 20 % de 150.,0.2 × 150,"{""20"",""30"",""40"",""50""}",30,Calcule 20 % de 150 en divisant d'abord par 10 (15) et double pour obtenir 30. Un piège est de confondre avec les pourcentages proches.,"Pense d'abord à 10 %, puis double.",true
psychotechnique,calcul_mental,Moyenne,Quel est le carré de 17 ?,17²,"{""239"",""248"",""289"",""324""}",289,17² se résout par 17 × 17 via (17 × 20) - (17 × 3) = 289. La confusion vient souvent d'une erreur dans les étapes intermédiaires.,Multiplie 17 par 17 directement.,true
psychotechnique,calcul_mental,Moyenne,Convertir 180 minutes en heures.,180 / 60,"{""2"",""3"",""4"",""5""}",3,180 minutes font 3 heures car 180 / 60 = 3. L'erreur commune est de confondre la division par 60 avec addition ou multiplication.,Divise par 60 pour obtenir les heures.,true
psychotechnique,calcul_mental,Moyenne,Combien représentent 15 % de 200 ?,0.15 × 200,"{""25"",""30"",""35"",""40""}",30,15 % de 200 se calcule par d'abord 10 % (20) puis 5 % (10) pour totaliser 30. Un piège est de mal évaluer la fraction complémentaire.,Calcule 10 % puis ajoute 5 %.,true
psychotechnique,calcul_mental,Moyenne,Que vaut 375 + 628 ?,375 + 628,"{""993"",""1003"",""1004"",""1005""}",1003,"Additionne clairement: 375 + 628, en gérant les retenues. Cela fait 1003 en accumulant correctement les centaines, dizaines, unités.",Vérifiez attentivement les retenues.,true
psychotechnique,calcul_mental,Moyenne,Résoudre 526 - 198.,526 - 198,"{""308"",""317"",""328"",""336""}",328,"Pour 526 - 198, dose les soustractions en étapes: (526 - 200 + 2) = 328. Il est courant d'avoir un mauvais ajustement dans le calcul d'étape.","Soustrayez d'abord 200, puis ajustez.",true
psychotechnique,calcul_mental,Moyenne,Calculez 16 × 15.,16 × 15,"{""240"",""250"",""255"",""260""}",240,16 × 15 peut s'ajuster comme suit: (16 × 10 + 16 × 5 = 160 + 80) = 240. Mauvaise distribution mène souvent à une erreur.,Décompose comme (10 + 5) pour multiplier.,true
psychotechnique,calcul_mental,Moyenne,Combien vaut 96 / 4 ?,96 / 4,"{""22"",""23"",""24"",""25""}",24,96 / 4 donne 24 puisque 24 × 4 retrace jusqu'à 96. Une erreur typique est d'aller trop ou pas assez loin dans la division.,Regarde combien de fois 4 entre dans 96.,true
psychotechnique,calcul_mental,Moyenne,Que vaut 112 + 367 ?,112 + 367,"{""469"",""479"",""489"",""499""}",479,Addition contrôlée: (112 + 300 = 412) puis (67 + 412 = 479). Un piège est d'oublier une retenue ou de se tromper à l'étape.,,true
psychotechnique,calcul_mental,Moyenne,Solution de 738 - 521 ?,738 - 521,"{""207"",""217"",""218"",""219""}",217,Calcul progressif: (738 - 500 = 238) puis (238 - 21 = 217). La distraction peut surgir sans suivis exacts des étapes.,"Enlève d'abord 500, puis le reste.",true
psychotechnique,calcul_mental,Difficile,Calculez 23 × 17.,23 × 17,"{""361"",""381"",""391"",""401""}",391,"Étape par étape: (23 × 10 + 23 × 7) = 391, agis sur des parties. La confusion est d'omettre un segment de multiplication.",Décompose en multipliant en étapes.,true
psychotechnique,calcul_mental,Difficile,8 % de 250 est combien ?,0.08 × 250,"{""20"",""25"",""30"",""35""}",20,Calcule comme (250/10 = 25) puis 1/5 de 25 pour 20. Confusion avec autre conversion peu fréquente blesserait.,Pense en approchant 10 % et ajuste.,true
psychotechnique,calcul_mental,Difficile,Quelle est la fraction 2/3 de 81 ?,2/3 × 81,"{""46"",""54"",""56"",""58""}",54,Deux tiers de 81 sont obtenus: divise par 3 puis double: 27 × 2 = 54. Rater l'initiale division 3 donne mauvais chemin.,"Divise par 3 d'abord, puis double.",true
psychotechnique,calcul_mental,Difficile,Résolvez 3^4.,3^4,"{""64"",""81"",""91"",""101""}",81,"3^4 est 3 × 3 × 3 × 3. Initiale 3^2 = 9, puis 9 × 9 = 81. L'erreur serait de négliger le produit total.",Calcule step by step des valeurs croissantes.,true
psychotechnique,calcul_mental,Difficile,Trouve la racine de 225.,√225,"{""13"",""14"",""15"",""16""}",15,La racine de 225 est effectivement 15 puisque 15 × 15 produit 225. Oublier une racine simple mène à des confusions.,Pense à quel nombre multiplié par lui-même donnerait 225.,true
psychotechnique,calcul_mental,Difficile,Combien valent 648 ÷ 24 ?,648 ÷ 24,"{""26"",""27"",""28"",""29""}",27,24 s'intègre parfaitement dans 648: est égal à 27 (27 × 24 = 648). Une mauvaise lecture de division pourrait entraîner l'échec.,Analyse multiple synchro entre quotient et diviseur.,true
psychotechnique,calcul_mental,Difficile,Evaluer (35 + 17) × 2 - 14.,(35 + 17) × 2 - 14,"{""88"",""92"",""96"",""98""}",88,"35 + 17 = 52, double 52 = 104, puis soustrais 14 pour 88. Détournement problème sont souvent d'oublier priorité ou séquence.",Garde la séquence et priorité des opérations.,true
psychotechnique,calcul_mental,Difficile,Que vaut la moitié de (81 - 17) ?,(81 - 17) / 2,"{""27"",""32"",""34"",""37""}",32,"Soustrais d'abord (81 - 17 = 64), ensuite partage 64 en deux dons 32. Ceux endurcis omettent rythme ou négligence premiers deux entraînerait.","Suit PTO (Priorité,Termine, Opération), d'abord soustraction.",true
psychotechnique,calcul_mental,Difficile,25 % de 380 est combien ?,0.25 × 380,"{""85"",""90"",""95"",""100""}",95,Calcule divisant par 4 puisque 25 % est toujours un quatrième du total: 380 / 4 égale 95. Principal danger vient suivant pourcentage incorrectement.,Pense trimestre du nombre.,true
psychotechnique,calcul_mental,Difficile,Quels sont les résultats de 12 × 9 + 25 ?,12 × 9 + 25,"{""132"",""133"",""137"",""143""}",133,"12 × 9 équivalent rapide 108, 108 + 25 augmente toi 133. Courante mauvaise direction simple serait transpose ou mal prise résultats intermédiaire.",Retient pertinence en addition bien gérer.,true
psychotechnique,calcul_mental,Difficile,Que vaut 48 × 25 ?,48 × 25,"{""1100"",""1200"",""1250"",""1400""}",1200,"D'abord parelle queue (48 mois 100), ensuite double lache anglais (100÷4 par 25) doit 1200. Mouvance normal confusion multiplication similaire plus précise relevé.","Décompose en bas et haut, 25 découle simplement 100÷4.",true
psychotechnique,calcul_mental,Difficile,(63 × 5) − 32 vaut combien ?,(63 × 5) − 32,"{""273"",""280"",""283"",""293""}",283,"63 × 5 forme apport 315, soustrayez 32 cause répondre 283. Ecartation nombreux étape raison saut sec sans pas inversé proportion.",Purement assurez droite tout d'abord multiplication puis soustrayez.,true
psychotechnique,calcul_mental,Difficile,Comment évaluer (79 - 28) × 4 ?,(79 - 28) × 4,"{""180"",""184"",""188"",""204""}",204,"Soustrayons decomposé premier forme d'abord, même 51, suite retrouve multiplication retourne 204. Surprendre progression mathématique parfois complexe de résumé duplicité amendée niveau structuré.",Fais les soustractions avant de multiplier direct.,true
